query	target	fident	alnlen	mismatch	gapopen	qstart	qend	qlen	qcov	tstart	tend	tlen	tcov	evalue	bits
A7F5J6|A7F5J6_SCLS1	A7F5J6|A7F5J6_SCLS1	1.000	142	0	0	1	142	142	1.000	1	142	142	1.000	6.156E-88	287
A7F5J6|A7F5J6_SCLS1	Q7SHV4|Q7SHV4_NEUCR	0.682	142	44	0	1	142	142	1.000	1	139	139	1.000	2.921E-56	196
A7F5J6|A7F5J6_SCLS1	Q7RWX0|Q7RWX0_NEUCR	0.804	107	21	0	1	107	142	0.754	1	107	125	0.856	1.677E-50	179
A7F5J6|A7F5J6_SCLS1	Q4WP22|Q4WP22_ASPFU	0.725	119	32	0	1	119	142	0.838	1	119	125	0.952	1.115E-49	177
A7F5J6|A7F5J6_SCLS1	A0A1D8PJH2|A0A1D8PJH2_CANAL	0.747	88	22	0	14	101	142	0.620	13	100	117	0.752	1.468E-35	136
A7F5J6|A7F5J6_SCLS1	Q6C3F1|Q6C3F1_YARLI	0.668	96	32	0	12	107	142	0.676	14	109	124	0.774	1.668E-33	130
A7F5J6|A7F5J6_SCLS1	Q0UXG0|Q0UXG0_PHANO	0.514	131	59	0	1	131	142	0.923	1	123	123	1.000	5.891E-33	128
A7F5J6|A7F5J6_SCLS1	B7P1L8|B7P1L8_IXOSC	0.706	86	25	0	20	105	142	0.606	20	105	108	0.796	1.381E-31	124
A7F5J6|A7F5J6_SCLS1	D6WCC1|D6WCC1_TRICA	0.594	101	41	0	1	101	142	0.711	1	101	113	0.894	1.142E-29	119
A7F5J6|A7F5J6_SCLS1	P53157|MPC1_YEAST	0.651	90	31	0	11	100	142	0.634	16	105	130	0.692	1.566E-29	119
A7F5J6|A7F5J6_SCLS1	P63030|MPC1_MOUSE	0.593	98	39	0	3	100	142	0.690	4	101	109	0.899	1.951E-28	115
A7F5J6|A7F5J6_SCLS1	P63031|MPC1_RAT	0.593	98	39	0	3	100	142	0.690	4	101	109	0.899	1.951E-28	115
A7F5J6|A7F5J6_SCLS1	Q7PXI3|Q7PXI3_ANOGA	0.553	107	47	0	1	107	142	0.754	1	107	118	0.907	1.951E-28	115
A7F5J6|A7F5J6_SCLS1	F1Q6Z3|F1Q6Z3_DANRE	0.635	90	32	0	12	101	142	0.634	13	102	109	0.826	2.675E-28	115
A7F5J6|A7F5J6_SCLS1	A0A2I3S149|A0A2I3S149_PANTR	0.585	98	40	0	3	100	142	0.690	4	101	109	0.899	9.440E-28	113
A7F5J6|A7F5J6_SCLS1	A0A5F4D1S1|A0A5F4D1S1_CANLF	0.585	98	40	0	3	100	142	0.690	4	101	109	0.899	9.440E-28	113
A7F5J6|A7F5J6_SCLS1	Q3ZCG2|MPC1_BOVIN	0.585	98	40	0	3	100	142	0.690	4	101	109	0.899	9.440E-28	113
A7F5J6|A7F5J6_SCLS1	Q9Y5U8|MPC1_HUMAN	0.585	98	40	0	3	100	142	0.690	4	101	109	0.899	9.440E-28	113
A7F5J6|A7F5J6_SCLS1	F1P0W7|F1P0W7_CHICK	0.631	89	32	0	12	100	142	0.627	13	101	107	0.832	1.294E-27	113
A7F5J6|A7F5J6_SCLS1	A0A0B4KHD3|A0A0B4KHD3_DROME	0.618	91	34	0	20	110	142	0.641	18	107	107	0.841	1.773E-27	113
A7F5J6|A7F5J6_SCLS1	Q7KSC4|MPC1_DROME	0.618	91	34	0	20	110	142	0.641	18	107	107	0.841	1.773E-27	113
A7F5J6|A7F5J6_SCLS1	O74847|MPC1_SCHPO	0.596	95	37	0	20	114	142	0.669	31	123	141	0.660	1.773E-27	113
A7F5J6|A7F5J6_SCLS1	Q6DD97|Q6DD97_XENTR	0.570	100	42	0	12	111	142	0.704	13	111	111	0.892	2.431E-27	112
A7F5J6|A7F5J6_SCLS1	A7SC70|A7SC70_NEMVE	0.624	89	33	0	12	100	142	0.627	14	102	103	0.864	4.566E-27	111
A7F5J6|A7F5J6_SCLS1	A0A087WVZ0|A0A087WVZ0_HUMAN	0.576	98	41	0	3	100	142	0.690	4	101	109	0.899	4.566E-27	111
A7F5J6|A7F5J6_SCLS1	A0A5F8G967|A0A5F8G967_MONDO	0.572	99	42	0	3	101	142	0.697	4	102	109	0.908	4.566E-27	111
A7F5J6|A7F5J6_SCLS1	H2R418|H2R418_PANTR	0.576	98	41	0	3	100	142	0.690	4	101	109	0.899	4.566E-27	111
A7F5J6|A7F5J6_SCLS1	A0A6I8SJH5|A0A6I8SJH5_XENTR	0.560	100	43	0	12	111	142	0.704	13	111	111	0.892	1.611E-26	110
A7F5J6|A7F5J6_SCLS1	H2M2U2|H2M2U2_ORYLA	0.672	79	26	0	23	101	142	0.556	6	84	92	0.859	5.684E-26	108
A7F5J6|A7F5J6_SCLS1	C3XUP8|C3XUP8_BRAFL	0.710	74	21	0	23	96	142	0.521	2	75	94	0.787	5.684E-26	108
A7F5J6|A7F5J6_SCLS1	Q5KPJ3|Q5KPJ3_CRYNJ	0.475	120	62	0	13	132	142	0.845	10	128	130	0.915	1.463E-25	107
A7F5J6|A7F5J6_SCLS1	A0A5F4C6F1|A0A5F4C6F1_CANLF	0.671	78	25	0	23	100	142	0.549	2	79	87	0.897	2.005E-25	107
A7F5J6|A7F5J6_SCLS1	T1FNT8|T1FNT8_HELRO	0.641	82	29	0	20	101	142	0.577	9	90	131	0.626	2.748E-25	106
A7F5J6|A7F5J6_SCLS1	D3YWY6|D3YWY6_MOUSE	0.677	76	24	0	25	100	142	0.535	2	77	85	0.894	7.072E-25	105
A7F5J6|A7F5J6_SCLS1	D3Z5S0|D3Z5S0_MOUSE	0.677	76	24	0	25	100	142	0.535	3	78	86	0.884	7.072E-25	105
A7F5J6|A7F5J6_SCLS1	A0A5F4C3K6|A0A5F4C3K6_CANLF	0.662	78	26	0	23	100	142	0.549	2	79	87	0.897	7.072E-25	105
A7F5J6|A7F5J6_SCLS1	A0A0D1E6R4|A0A0D1E6R4_USTMA	0.544	99	45	0	12	110	142	0.697	9	107	117	0.846	7.072E-25	105
A7F5J6|A7F5J6_SCLS1	F4P361|F4P361_BATDJ	0.667	77	25	0	25	101	142	0.542	1	77	77	1.000	9.692E-25	105
A7F5J6|A7F5J6_SCLS1	A0A2I3S6K3|A0A2I3S6K3_PANTR	0.493	111	56	0	1	111	142	0.782	4	114	137	0.810	1.820E-24	104
A7F5J6|A7F5J6_SCLS1	H2R3E4|H2R3E4_PANTR	0.666	76	25	0	25	100	142	0.535	13	88	96	0.792	3.418E-24	103
A7F5J6|A7F5J6_SCLS1	G3X6Y1|G3X6Y1_BOVIN	0.498	106	53	0	3	108	142	0.746	6	111	181	0.586	2.263E-23	101
A7F5J6|A7F5J6_SCLS1	Q2M2T3|MPCX_BOVIN	0.498	106	53	0	3	108	142	0.746	6	111	181	0.586	2.263E-23	101
A7F5J6|A7F5J6_SCLS1	F6ZF76|F6ZF76_CIOIN	0.610	82	32	0	12	93	142	0.577	12	93	109	0.752	3.100E-23	100
A7F5J6|A7F5J6_SCLS1	P0DKB6|MPC1L_HUMAN	0.478	111	57	0	1	111	142	0.782	4	113	136	0.809	4.248E-23	100
A7F5J6|A7F5J6_SCLS1	Q21828|MPC1_CAEEL	0.594	82	33	0	20	101	142	0.577	23	104	137	0.599	3.851E-22	97
A7F5J6|A7F5J6_SCLS1	E3KPN7|E3KPN7_PUCGT	0.545	89	40	0	12	100	142	0.627	8	96	114	0.781	2.547E-21	95
A7F5J6|A7F5J6_SCLS1	B6SX80|B6SX80_MAIZE	0.528	91	42	0	23	112	142	0.634	17	107	107	0.850	8.971E-21	93
A7F5J6|A7F5J6_SCLS1	B6UEL2|B6UEL2_MAIZE	0.608	75	29	0	23	97	142	0.528	17	91	107	0.701	3.159E-20	92
A7F5J6|A7F5J6_SCLS1	Q6H4I2|Q6H4I2_ORYSJ	0.518	91	43	0	23	112	142	0.634	17	107	107	0.850	4.328E-20	91
A7F5J6|A7F5J6_SCLS1	Q6Z565|Q6Z565_ORYSJ	0.604	75	29	0	23	97	142	0.528	17	91	107	0.701	5.928E-20	91
A7F5J6|A7F5J6_SCLS1	D3Z786|D3Z786_MOUSE	0.608	74	29	0	3	76	142	0.521	4	77	78	0.949	8.120E-20	91
A7F5J6|A7F5J6_SCLS1	B3H6E6|B3H6E6_ARATH	0.601	75	30	0	23	97	142	0.528	18	92	97	0.773	8.120E-20	91
A7F5J6|A7F5J6_SCLS1	Q949R9|MPC1_ARATH	0.601	75	30	0	23	97	142	0.528	18	92	110	0.682	8.120E-20	91
A7F5J6|A7F5J6_SCLS1	A0A2K1JVL9|A0A2K1JVL9_PHYPA	0.505	92	44	0	23	114	142	0.648	16	104	107	0.832	2.087E-19	89
A7F5J6|A7F5J6_SCLS1	A0A1D6L8C5|A0A1D6L8C5_MAIZE	0.592	75	30	0	23	97	142	0.528	57	131	136	0.551	2.858E-19	89
A7F5J6|A7F5J6_SCLS1	A8I311|A8I311_CHLRE	0.492	89	44	0	23	111	142	0.627	17	104	116	0.759	1.704E-17	84
A7F5J6|A7F5J6_SCLS1	H3GVD1|H3GVD1_PHYRM	0.535	78	36	0	23	100	142	0.549	19	96	107	0.729	8.200E-17	82
A7F5J6|A7F5J6_SCLS1	Q8IDS8|Q8IDS8_PLAF7	0.468	80	42	0	21	100	142	0.563	15	94	106	0.755	3.924E-13	71
A7F5J6|A7F5J6_SCLS1	Q55GU4|MPC1_DICDI	0.456	78	40	0	26	103	142	0.549	11	85	97	0.773	8.993E-12	67
F1Q6Z3|F1Q6Z3_DANRE	F1Q6Z3|F1Q6Z3_DANRE	1.000	109	0	0	1	109	109	1.000	1	109	109	1.000	5.127E-69	230
F1Q6Z3|F1Q6Z3_DANRE	Q6DD97|Q6DD97_XENTR	0.868	109	14	0	1	109	109	1.000	1	109	111	0.982	4.899E-58	199
F1Q6Z3|F1Q6Z3_DANRE	F1P0W7|F1P0W7_CHICK	0.885	106	12	0	1	106	109	0.972	1	106	107	0.991	1.265E-57	198
F1Q6Z3|F1Q6Z3_DANRE	A0A6I8SJH5|A0A6I8SJH5_XENTR	0.859	109	15	0	1	109	109	1.000	1	109	111	0.982	3.264E-57	196
F1Q6Z3|F1Q6Z3_DANRE	A0A5F8G967|A0A5F8G967_MONDO	0.871	106	14	0	1	106	109	0.972	1	106	109	0.972	2.175E-56	194
F1Q6Z3|F1Q6Z3_DANRE	A0A2I3S149|A0A2I3S149_PANTR	0.867	106	14	0	1	106	109	0.972	1	106	109	0.972	4.092E-56	193
F1Q6Z3|F1Q6Z3_DANRE	P63030|MPC1_MOUSE	0.866	106	14	0	1	106	109	0.972	1	106	109	0.972	5.613E-56	193
F1Q6Z3|F1Q6Z3_DANRE	P63031|MPC1_RAT	0.866	106	14	0	1	106	109	0.972	1	106	109	0.972	5.613E-56	193
F1Q6Z3|F1Q6Z3_DANRE	Q3ZCG2|MPC1_BOVIN	0.864	106	14	0	1	106	109	0.972	1	106	109	0.972	7.700E-56	192
F1Q6Z3|F1Q6Z3_DANRE	A0A5F4D1S1|A0A5F4D1S1_CANLF	0.863	106	14	0	1	106	109	0.972	1	106	109	0.972	1.056E-55	192
F1Q6Z3|F1Q6Z3_DANRE	Q9Y5U8|MPC1_HUMAN	0.868	105	14	0	1	105	109	0.963	1	105	109	0.963	1.449E-55	192
F1Q6Z3|F1Q6Z3_DANRE	H2R418|H2R418_PANTR	0.860	106	15	0	1	106	109	0.972	1	106	109	0.972	1.988E-55	191
F1Q6Z3|F1Q6Z3_DANRE	A0A087WVZ0|A0A087WVZ0_HUMAN	0.860	105	15	0	1	105	109	0.963	1	105	109	0.963	7.038E-55	190
F1Q6Z3|F1Q6Z3_DANRE	H2M2U2|H2M2U2_ORYLA	0.962	83	3	0	24	106	109	0.761	6	88	92	0.902	3.757E-48	170
F1Q6Z3|F1Q6Z3_DANRE	A0A5F4C6F1|A0A5F4C6F1_CANLF	0.912	84	7	0	23	106	109	0.771	1	84	87	0.966	2.095E-45	162
F1Q6Z3|F1Q6Z3_DANRE	A0A5F4C3K6|A0A5F4C3K6_CANLF	0.904	84	8	0	23	106	109	0.771	1	84	87	0.966	7.419E-45	161
F1Q6Z3|F1Q6Z3_DANRE	H2R3E4|H2R3E4_PANTR	0.738	106	24	0	1	106	109	0.972	1	93	96	0.969	7.419E-45	161
F1Q6Z3|F1Q6Z3_DANRE	D6WCC1|D6WCC1_TRICA	0.768	100	23	0	3	102	109	0.917	2	101	113	0.885	3.606E-44	159
F1Q6Z3|F1Q6Z3_DANRE	D3YWY6|D3YWY6_MOUSE	0.908	81	7	0	26	106	109	0.743	2	82	85	0.953	3.298E-43	156
F1Q6Z3|F1Q6Z3_DANRE	D3Z5S0|D3Z5S0_MOUSE	0.908	81	7	0	26	106	109	0.743	3	83	86	0.942	3.298E-43	156
F1Q6Z3|F1Q6Z3_DANRE	Q7PXI3|Q7PXI3_ANOGA	0.754	100	24	0	3	102	109	0.917	2	101	118	0.847	4.524E-43	156
F1Q6Z3|F1Q6Z3_DANRE	A0A0B4KHD3|A0A0B4KHD3_DROME	0.767	96	22	0	7	102	109	0.881	4	99	107	0.897	5.678E-42	153
F1Q6Z3|F1Q6Z3_DANRE	Q7KSC4|MPC1_DROME	0.767	96	22	0	7	102	109	0.881	4	99	107	0.897	5.678E-42	153
F1Q6Z3|F1Q6Z3_DANRE	D3Z786|D3Z786_MOUSE	0.914	78	7	0	1	78	109	0.716	1	78	78	1.000	1.466E-41	151
F1Q6Z3|F1Q6Z3_DANRE	A7SC70|A7SC70_NEMVE	0.734	100	26	0	2	101	109	0.917	3	102	103	0.971	2.011E-41	151
F1Q6Z3|F1Q6Z3_DANRE	B7P1L8|B7P1L8_IXOSC	0.735	99	26	0	3	101	109	0.908	2	100	108	0.917	5.194E-41	150
F1Q6Z3|F1Q6Z3_DANRE	C3XUP8|C3XUP8_BRAFL	0.861	79	11	0	23	101	109	0.725	1	79	94	0.840	8.183E-39	143
F1Q6Z3|F1Q6Z3_DANRE	G3X6Y1|G3X6Y1_BOVIN	0.676	104	33	0	1	102	109	0.936	1	104	181	0.575	1.540E-38	143
F1Q6Z3|F1Q6Z3_DANRE	Q2M2T3|MPCX_BOVIN	0.676	104	33	0	1	102	109	0.936	1	104	181	0.575	1.540E-38	143
F1Q6Z3|F1Q6Z3_DANRE	F6ZF76|F6ZF76_CIOIN	0.743	92	23	0	6	97	109	0.844	5	96	109	0.844	5.458E-38	141
F1Q6Z3|F1Q6Z3_DANRE	A0A2I3S6K3|A0A2I3S6K3_PANTR	0.695	99	30	0	3	101	109	0.908	5	103	137	0.723	1.027E-37	140
